C,x300,x55,x5,x317,x180,x177,KFold_Accuracy
0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.7973333333333332
0.2,1.0,1.0,1.0,1.0,1.0,3.0,0.7979999999999999
0.2,1.0,1.0,1.0,1.0,1.0,5.0,0.8033333333333333
0.2,1.0,1.0,1.0,1.0,3.0,1.0,0.8039999999999999
0.2,1.0,1.0,1.0,1.0,3.0,3.0,0.8013333333333333
0.2,1.0,1.0,1.0,1.0,3.0,5.0,0.7953333333333332
0.2,1.0,1.0,1.0,1.0,5.0,1.0,0.7953333333333333
0.2,1.0,1.0,1.0,1.0,5.0,3.0,0.7979999999999998
0.2,1.0,1.0,1.0,1.0,5.0,5.0,0.8026666666666668
0.2,1.0,1.0,1.0,3.0,1.0,1.0,0.7893333333333333
0.2,1.0,1.0,1.0,3.0,1.0,3.0,0.7953333333333333
0.2,1.0,1.0,1.0,3.0,1.0,5.0,0.7926666666666666
0.2,1.0,1.0,1.0,3.0,3.0,1.0,0.8006666666666667
0.2,1.0,1.0,1.0,3.0,3.0,3.0,0.7986666666666666
0.2,1.0,1.0,1.0,3.0,3.0,5.0,0.7953333333333333
0.2,1.0,1.0,1.0,3.0,5.0,1.0,0.8026666666666668
0.2,1.0,1.0,1.0,3.0,5.0,3.0,0.8059999999999998
0.2,1.0,1.0,1.0,3.0,5.0,5.0,0.8033333333333333
0.2,1.0,1.0,1.0,5.0,1.0,1.0,0.8006666666666667
0.2,1.0,1.0,1.0,5.0,1.0,3.0,0.7913333333333334
0.2,1.0,1.0,1.0,5.0,1.0,5.0,0.7933333333333333
0.2,1.0,1.0,1.0,5.0,3.0,1.0,0.796
0.2,1.0,1.0,1.0,5.0,3.0,3.0,0.7986666666666666
0.2,1.0,1.0,1.0,5.0,3.0,5.0,0.7973333333333333
0.2,1.0,1.0,1.0,5.0,5.0,1.0,0.7899999999999999
0.2,1.0,1.0,1.0,5.0,5.0,3.0,0.8019999999999999
0.2,1.0,1.0,1.0,5.0,5.0,5.0,0.8
0.2,1.0,1.0,3.0,1.0,1.0,1.0,0.7973333333333333
0.2,1.0,1.0,3.0,1.0,1.0,3.0,0.7879999999999999
0.2,1.0,1.0,3.0,1.0,1.0,5.0,0.7906666666666666
0.2,1.0,1.0,3.0,1.0,3.0,1.0,0.8033333333333333
0.2,1.0,1.0,3.0,1.0,3.0,3.0,0.796
0.2,1.0,1.0,3.0,1.0,3.0,5.0,0.7946666666666667
0.2,1.0,1.0,3.0,1.0,5.0,1.0,0.7953333333333333
0.2,1.0,1.0,3.0,1.0,5.0,3.0,0.8026666666666668
0.2,1.0,1.0,3.0,1.0,5.0,5.0,0.7953333333333333
0.2,1.0,1.0,3.0,3.0,1.0,1.0,0.8
0.2,1.0,1.0,3.0,3.0,1.0,3.0,0.8019999999999999
